RODRIGO DE M. CARNEIRO DE OLIVEIRA,Sócio,Latin Lawyer 250,2020,Antitrust & Competition / Litigation ,The Legal 500 Latin America,2021,Competition and Antitrust / Dispute Resolution: Arbitration / Litigation
RODRIGO DE SÁ GIAROLA,Consultor,,,,,,
RODRIGO PERSONE PRESTES DE CAMARGO,Sócio,Latin Lawyer 250,2020,Litigation,Benchmark Litigation ,2020,Commercial
SÉRGIO FARINA FILHO,Sócio,Latin Lawyer 250,2020,Tax,The Legal 500 Latin America,2021,Tax  - Leading Individual
SÉRGIO PINHEIRO MARÇAL,Sócio,Chambers Brazil,2021,Consumer Law - Band 1,Who's Who Legal Brazil ,2020,Life Sciences / Product Liability Defence 
SOFIA TOLEDO PIZA,,,,,,,
TÉRCIO CHIAVASSA,Sócio ,Chambers Brazil,2021,Tax: Litigation,Latin Lawyer 250,2020,Tax
THAIS GALO,Sócia,Chambers Brazil,2021, Labour & Employment ,Latin Lawyer 250,2020,Labour
THÉRA VAN SWAAY DE MARCHI,Sócia,Latin Lawyer 250,2020,Insurance & Reinsurance ,The Legal 500 Latin America,2021, Insurance / Life Sciences
THIAGO BRAGA JUNQUEIRA,Sócio,Chambers Brazil,2021,Bankruptcy/Restructuring,The Legal 500 Latin America,2021,Restructuring and Insolvency - Rising Star
TIAGO ARAÚJO DIAS THEMUDO LESSA,Sócio,Chambers Latin America,2021,Agribusiness / Capital Markets ,Latin Lawyer 250,2020,Banking & Finance 
TIAGO MOREIRA VIEIRA ROCHA,Sócio,Latin Lawyer 250,2020,Tax,,,
VÂNIA MARQUES RIBEIRO ,Sócia,Latin Lawyer 250,2020,Corporate and M&A – Recommended,The Legal 500 Latin America,2021,Corporate and M&A
VICENTE COELHO ARAÚJO,Sócio,Latin Lawyer 250,2020,Management,The Legal 500 Latin America,2021,City Focus - Brasília: Litigation / Compliance /White-Collar Crime and Investigations
WERNER GRAU NETO,Sócio,Chambers Latin America,2021,Environment - Band 1,Latin Lawyer 250,2020,Environment
YUKA ONO,Sócia,Latin Lawyer 250,2020,Banking & Finance / Project Finance & Infrastructure ,The Legal 500 Latin America,2021,Banking and Finance
